Date,Log_Return,Volatility,VaR_95,Std_Resid
2019-01-02,2.5657066653892,2.848118408660769,-3.7571532297636625,0.8712627588354357
2019-01-03,-2.7422321806191903,2.8642487820171243,-3.778909074731638,-0.9868134924362583
2019-01-04,0.5452331614920399,2.86112923367344,-3.7747015831481554,0.16112029925007862
2019-01-05,-0.32514872489333,2.800173724860811,-3.692487825885734,-0.14620374601333247
2019-01-06,5.84470890549067,2.7400018989231327,-3.611331061090556,2.102356843104818
2019-01-07,-1.26847005573864,3.0988292417952197,-4.095299526626411,-0.43652525304182566
2019-01-08,0.13901547706839998,3.039548077425404,-4.015344041836429,0.018018571348068113
2019-01-09,0.11030020343767,2.9694321214436044,-3.9207751292377373,0.00877374501343277
2019-01-10,-9.24592824929817,2.901798980248758,-3.829554913683797,-3.2153072890210215
2019-01-11,0.22917701090906997,3.433923695343028,-4.547258251942725,0.04220531980258964
2019-01-12,-0.70936849314868,3.350214991990066,-4.434356118037698,-0.23688499341550923
2019-01-13,-3.00394317908949,3.2733030318688106,-4.330621093211266,-0.9434477383219213
2019-01-14,4.21881015929432,3.2585015063338774,-4.310657532064018,1.2688540999867968
2019-01-15,-2.05485633725466,3.3706455120219823,-4.461911786874984,-0.634627252493509
2019-01-16,0.66793014015456,3.318681821570621,-4.391825746803365,0.17587795647999038
2019-01-17,0.64244855803288,3.242547132485455,-4.289139066474959,0.17214904581374096
2019-01-18,-0.5649816019731799,3.168815362249153,-4.189693323525471,-0.20488059130141278
2019-01-19,1.9151709058737798,3.0970141664605704,-4.0928514433295495,0.5911899798627102
2019-01-20,-3.4808960768915003,3.0649047950646793,-4.049543920888792,-1.1632150028939778
2019-01-21,-0.6961443903655601,3.0838298556893613,-4.075069100986244,-0.25305921210122595
2019-01-22,0.7950530556472599,3.016448257042427,-3.984188153504674,0.23564332350748335
2019-01-23,-0.54116718394485,2.9533559727727723,-3.8990924198274843,-0.21176395696286615
2019-01-24,0.4381431105509,2.8892069715034983,-3.8125714388413297,0.12248895661403965
2019-01-25,-0.030542026954440003,2.8260789946596128,-3.7274275647960087,-0.040617827860007456
2019-01-26,0.07482631299655,2.7637426086640127,-3.6433513490988796,-0.0034087292149941203
2019-01-27,-0.5147111803204,2.7035983744579535,-3.5622317986584,-0.22154116866929713
2019-01-28,-3.21855631491487,2.6486022611550473,-3.4880557775319065,-1.2469986628509315
2019-01-29,-0.64561266610709,2.681736491634731,-3.532745578909948,-0.27215941295992496
2019-01-30,1.09787829709535,2.6290043900054245,-3.4616231440761185,0.3855570335977383
2019-01-31,-0.8176606850343,2.5883852426565634,-3.4068380592594054,-0.34844420889916017
2019-02-01,0.8682382533651201,2.5417056578687194,-3.343878957980223,0.3084507790147063
2019-02-02,0.94494781257736,2.4988852313094245,-3.2861248972957218,0.3444338453898993
2019-02-03,-1.63344382344483,2.45973100948258,-3.2333156311313447,-0.6983247273756101
2019-02-04,-0.14038013125414,2.4372881235062476,-3.203045783239531,-0.09216279858633271
2019-02-05,0.20802425249577,2.3899915557229656,-3.13925452599594,0.05178976010603548
2019-02-06,-1.52876937500927,2.3443368466624768,-3.07767772610205,-0.6880481106949599
2019-02-07,-0.41965833008426,2.324461616401498,-3.050871004477699,-0.21678374454458996
2019-02-08,7.56939360941562,2.283567767514122,-2.9957154158944355,3.2778297857980707
2019-02-09,0.12056010064362001,3.017644094221845,-3.9858010391898095,0.012033538860240204
2019-02-10,0.5157899926350801,2.9482898705616947,-3.8922595132442837,0.14637055663167794
2019-02-11,-1.13803481619818,2.883761824208541,-3.805227295109517,-0.4238498370797549
2019-02-12,0.13963105132095,2.8305950883932325,-3.7335186473121347,0.0195661641534753
2019-02-13,-0.589054366087,2.768031067700156,-3.649135409261696,-0.24324204201069385
2019-02-14,-0.41908735831714006,2.711327047568879,-3.5726558483871194,-0.18564138986400913
2019-02-15,0.10859628225894,2.655180749946247,-3.496928515881048,0.009170418657941028
2019-02-16,0.24761573448372998,2.5990903767251288,-3.4212766114250526,0.06285605640237427
2019-02-17,1.2062263719125,2.5454916901410596,-3.348985369923771,0.44077111431501
2019-02-18,6.376138183178879,2.5118683672278905,-3.3036359050077047,2.5048649451934506
2019-02-19,0.79819551019113,2.990054831004329,-3.9485900137485133,0.23877433270409124
2019-02-20,1.32697650984958,2.928017770011885,-3.8649175127218283,0.4244268458367685
2019-02-21,-1.14918902823291,2.881450715977574,-3.802110187323706,-0.42806083219225766
2019-02-22,1.2917451356471998,2.828585310090415,-3.730807958339838,0.42689112757895764
2019-02-23,3.3630892863051502,2.7851810988184162,-3.6722665178828007,1.1772455746330956
2019-02-24,-8.35645682052934,2.8643305173148077,-3.7790193152341685,-2.9468331020721665
2019-02-25,1.87884471459778,3.3027556337903095,-4.370345297180492,0.5433637091003419
2019-02-26,-0.7325399279810699,3.259521632057793,-4.3120334268810225,-0.250584957963554
2019-02-27,-0.08592791582575,3.186123312456009,-4.2130374255555365,-0.053411328535177875
2019-02-28,0.09701838898461,3.110984921843556,-4.111694503033309,0.004105203379646966
2019-03-01,0.12440007407157,3.03829642621029,-4.0136558769571415,0.01321560021456702
2019-03-02,0.12509840035566,2.968208112750608,-3.9191242472168457,0.013762928889907418
2019-03-03,-0.44710065489129996,2.9006314254784793,-3.8279801739048325,-0.18318350045906903
2019-03-04,-2.25063140968977,2.837615948143702,-3.7429880335996466,-0.8228310721141163
2019-03-05,3.5213632013155296,2.8167051524933324,-3.714784592905745,1.2202612101957444
2019-03-06,0.19403387629406,2.9065718452942284,-3.8359923165689205,0.037771890380889364
