Date,Log_Return
2019-01-02,0.025657066653892002
2019-01-03,-0.027422321806191974
2019-01-04,0.005452331614920425
2019-01-05,-0.0032514872489333158
2019-01-06,0.0584470890549067
2019-01-07,-0.012684700557386464
2019-01-08,0.001390154770684049
2019-01-09,0.0011030020343767433
2019-01-10,-0.09245928249298174
2019-01-11,0.0022917701090907627
2019-01-12,-0.007093684931486877
2019-01-13,-0.030039431790894966
2019-01-14,0.04218810159294328
2019-01-15,-0.020548563372546624
2019-01-16,0.006679301401545601
2019-01-17,0.00642448558032882
2019-01-18,-0.0056498160197318015
2019-01-19,0.019151709058737865
2019-01-20,-0.03480896076891504
2019-01-21,-0.006961443903655606
2019-01-22,0.007950530556472657
2019-01-23,-0.005411671839448573
2019-01-24,0.004381431105509037
2019-01-25,-0.0003054202695444985
2019-01-26,0.0007482631299655651
2019-01-27,-0.005147111803204041
2019-01-28,-0.03218556314914878
2019-01-29,-0.006456126661070982
2019-01-30,0.01097878297095356
2019-01-31,-0.008176606850343049
2019-02-01,0.008682382533651278
2019-02-02,0.00944947812577368
2019-02-03,-0.016334438234448356
2019-02-04,-0.001403801312541475
2019-02-05,0.002080242524957754
2019-02-06,-0.015287693750092757
2019-02-07,-0.0041965833008426046
2019-02-08,0.0756939360941562
2019-02-09,0.0012056010064362965
2019-02-10,0.005157899926350851
2019-02-11,-0.011380348161981857
2019-02-12,0.0013963105132095421
2019-02-13,-0.005890543660870051
2019-02-14,-0.004190873583171495
2019-02-15,0.0010859628225894369
2019-02-16,0.002476157344837304
2019-02-17,0.012062263719125
2019-02-18,0.06376138183178881
2019-02-19,0.007981955101911353
2019-02-20,0.013269765098495867
2019-02-21,-0.01149189028232911
2019-02-22,0.012917451356472043
2019-02-23,0.03363089286305154
2019-02-24,-0.08356456820529345
2019-02-25,0.018788447145977827
2019-02-26,-0.007325399279810796
2019-02-27,-0.0008592791582575643
2019-02-28,0.0009701838898461546
2019-03-01,0.0012440007407157339
2019-03-02,0.00125098400355661
2019-03-03,-0.004471006548913081
2019-03-04,-0.02250631409689774
2019-03-05,0.035213632013155305
2019-03-06,0.001940338762940641
2019-03-07,0.0019299650258197687
2019-03-08,-0.0026502747112910896
